,Handle,Title,Vendor,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Barcode,Image Src,Image Position,Image Alt Text,code (product.metafields.custom.code),gender_list (product.metafields.custom.gender_list),type1 (product.metafields.custom.type1),type2 (product.metafields.custom.type2),type3 (product.metafields.custom.type3),with_images (product.metafields.custom.with_images),Status
0,tshirt-wardrums-tshirt-wardrums-white-ss-25,Tshirt WARDRUMS,DEVA STATES,with_images,False,size,L,color,WHITE,TSHIRT-WARDRUMS-WHITE-SS-25-L-WHITE-2700009550619,229.9,229.9,'2700009550619,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/SS-25_DEVA-STATES_TSHIRT_WARDRUMS_WHITE_0-01KFV0QGZ8TK1ZF0JR3E038A34.jpg?v=1769417056,1.0,Product image by Kixbox,TSHIRT_WARDRUMS-WHITE-SS-25,Mens,T-shirt Short Sleeve,T-shirt,Light Knitwear,True,draft
6,zipper-wallet-zipwallet01-natural-leather-aw-25,ZIPPER WALLET,MISTER GREEN,with_images,False,color,NATURAL LEATHER,size,ONE SIZE,ZIPWALLET01-NATURAL-LEATHER-AW-25-ONE-SIZE-NATURAL-LEATHER-2700010517267,739.9,739.9,'2700010517267,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/AW-25_MISTER-GREEN_ZIPWALLET01_NATURAL-LEATHER_0-01KFV0QCEGWQPH17CJK38DDNH6.jpg?v=1769417056,1.0,Product image by Kixbox,ZIPWALLET01-NATURAL LEATHER-AW-25,"Mens
Womens",Zippered Leather Wallet,Wallets,Accessories,True,draft
9,zipper-wallet-zipwallet01-green-leather-aw-25,ZIPPER WALLET,MISTER GREEN,with_images,False,color,GREEN LEATHER,size,ONE SIZE,ZIPWALLET01-GREEN-LEATHER-AW-25-ONE-SIZE-GREEN-LEATHER-2700010517250,739.9,739.9,'2700010517250,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/AW-25_MISTER-GREEN_ZIPWALLET01_GREEN-LEATHER_0-01KFV0QCB7HPCFMAGFNA1JPSB3.jpg?v=1769417055,1.0,Product image by Kixbox,ZIPWALLET01-GREEN LEATHER-AW-25,"Mens
Womens",Zippered Leather Wallet,Wallets,Accessories,True,draft
12,wordmark-hemp-underwear-2-pack-underwear-chlorophyll-navy-aw-25,Wordmark Hemp Underwear - 2 Pack,MISTER GREEN,with_images,False,size,L,color,CHLOROPHYLL/NAVY,UNDERWEAR-CHLOROPHYLL-NAVY-AW-25-L-CHLOROPHYLL-NAVY-2700010517229,259.9,259.9,'2700010517229,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/AW-25_MISTER-GREEN_UNDERWEAR_CHLOROPHYLL-NAVY_0-01KFV0PX5M6ZBEPKG8TS32Y1YK.jpg?v=1769417055,1.0,Product image by Kixbox,UNDERWEAR-CHLOROPHYLL/NAVY-AW-25,Mens,,Other,Accessories,True,draft
17,collection-15-tool-bag-set-toolbagset-chartreuse-red-black-aw-25,COLLECTION 15 TOOL BAG SET,MISTER GREEN,with_images,False,size,ONE SIZE,color,CHARTREUSE / RED / BLACK,TOOLBAGSET-CHARTREUSE-RED-BLACK-AW-25-ONE-SIZE-CHARTREUSE-RED-BLACK-2700010517199,299.9,299.9,'2700010517199,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/AW-25_MISTER-GREEN_TOOLBAGSET_CHARTREUSE---RED---BLACK_0-01KFV0PMK43NK8RB6YYT93P84E.jpg?v=1769417054,1.0,Product image by Kixbox,TOOLBAGSET-CHARTREUSE / RED / BLACK-AW-25,"Mens
Womens",,Other,Accessories,True,draft
24,tumi-ishi-montessori-stacking-blocks-stackingblocks01-green-natural-aw-25,TUMI ISHI MONTESSORI STACKING BLOCKS,MISTER GREEN,with_images,False,size,ONE SIZE,color,GREEN/NATURAL,STACKINGBLOCKS01-GREEN-NATURAL-AW-25-ONE-SIZE-GREEN-NATURAL-2700010517182,199.9,199.9,'2700010517182,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/AW-25_MISTER-GREEN_STACKINGBLOCKS01_GREEN-NATURAL_0-01KFV0PKVBJB9BE2YWHJDWKM4Y.jpg?v=1769417054,1.0,Product image by Kixbox,STACKINGBLOCKS01-GREEN/NATURAL-AW-25,"Mens
Womens",,Home Accessories,Accessories,True,draft
26,hemp-athletic-crew-sock-sock01-natural-aw-25,HEMP ATHLETIC CREW SOCK,MISTER GREEN,with_images,False,color,NATURAL,size,ONE SIZE,SOCK01-NATURAL-AW-25-ONE-SIZE-NATURAL-2700010517175,99.9,99.9,'2700010517175,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/AW-25_MISTER-GREEN_SOCK01_NATURAL_0-01KFV0PNCD7XKQVED2B0PTPXCX.jpg?v=1769417053,1.0,Product image by Kixbox,SOCK01-NATURAL-AW-25,"Mens
Womens",Socks,Hosiery,Accessories,True,draft
28,small-round-tote-grow-bag-smalltote01-green-aw-25,SMALL ROUND TOTE / GROW BAG,MISTER GREEN,with_images,False,color,GREEN,size,ONE SIZE,SMALLTOTE01-GREEN-AW-25-ONE-SIZE-GREEN-2700010517144,179.9,179.9,'2700010517144,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/AW-25_MISTER-GREEN_SMALLTOTE01_GREEN_0-01KFV0P9V2RA63JVZAG8AHVQFX.jpg?v=1769417053,1.0,Product image by Kixbox,SMALLTOTE01-GREEN-AW-25,"Mens
Womens",Tote Bag,Bag,Bags,True,draft
31,small-round-tote-grow-bag-smalltote01-natural-green-aw-25,SMALL ROUND TOTE / GROW BAG,MISTER GREEN,with_images,False,size,ONE SIZE,color,NATURAL/GREEN,SMALLTOTE01-NATURAL-GREEN-AW-25-ONE-SIZE-NATURAL-GREEN-2700010517168,179.9,179.9,'2700010517168,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/AW-25_MISTER-GREEN_SMALLTOTE01_NATURAL-GREEN_0-01KFV0P20H58G8F5E1ADW5N76X.jpg?v=1769417053,1.0,Product image by Kixbox,SMALLTOTE01-NATURAL/GREEN-AW-25,"Mens
Womens",Tote Bag,Bag,Bags,True,draft
34,small-round-tote-grow-bag-smalltote-leopard-aw-25,SMALL ROUND TOTE / GROW BAG,MISTER GREEN,with_images,False,size,ONE SIZE,color,LEOPARD,SMALLTOTE-LEOPARD-AW-25-ONE-SIZE-LEOPARD-2700010517120,179.9,179.9,'2700010517120,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/AW-25_MISTER-GREEN_SMALLTOTE_LEOPARD_0-01KFV0P2SPTQ2SPE2K4X94M6EC.jpg?v=1769417052,1.0,Product image by Kixbox,SMALLTOTE-LEOPARD-AW-25,"Mens
Womens",Tote Bag,Bag,Bags,True,draft
