CategoryIdsGarageID;CategoryIdsInsalesId;CategoryIdsKixboxOrderId;CategoryIdsKixboxReserve;CategoryIdsKixboxShopifyId;CategoryIdsKixboxWebsiteId;CategoryIdsKixboxWebsiteTestId;CategoryIdsMBOctoberShopify;CategoryIdsTestIrakli;CategoryName;CategoryParentCategoryIdsGarageID;CategoryParentCategoryIdsInsalesId;CategoryParentCategoryIdsKixboxOrderId;CategoryParentCategoryIdsKixboxReserve;CategoryParentCategoryIdsKixboxShopifyId;CategoryParentCategoryIdsKixboxWebsiteId;CategoryParentCategoryIdsKixboxWebsiteTestId;CategoryParentCategoryIdsMBOctoberShopify;CategoryParentCategoryIdsTestIrakli;CategoryParentCategoryName
;;;;233257435303;;;;;1+1=3;;;;;;;;;;
;;260760699013;;;;;;;40S & SHORTIES;;;;;;;;;;
;;;;260760699013;;;;;40S & SHORTIES;;;;;;;;;;
;29656641;;;;;;;;40S & SHORTIES;;29652522;;;;;;;;Бренды
;;;;183535730821;;;;;40s & shorties (183535730821);;;;;;;;;;
;;;;425380937949;;;;;40S & SHORTIES (425380937949);;;;;;;;;;
;;;;186176635019;;;;;A.D.E.D.;;;;;;;;;;
;;;;;13065;;;;Accessory;;;;;;13112;;;;Прочие аксессуары (старое)
;29719942;;;;;;;;Ace Trucks;;29704861;;;;;;;;БРЕНДЫ
;;;;221299245223;;;;;ACE TRUCKS;;;;;;;;;;
;;;;;;;221299245223;;ACE TRUCKS;;;;;;;;;;
;29656643;;;;;;;;ADIDAS;;29652522;;;;;;;;Бренды
;;;;183535763589;;;;;adidas Originals;;;;;;;;;;
;;183535763589;;;;;;;adidas Originals;;;;;;;;;;
;;;;425381134557;;;;;adidas Originals (425381134557);;;;;;;;;;
;;;;180819787915;;;;;adidas Skateboarding;;;;;;;;;;
;;;;;;;180819787915;;adidas Skateboarding;;;;;;;;;;
;;;;265210134661;;;;;AGARIC FLY;;;;;;;;;;
;29656646;;;;;;;;AGARIC FLY;;29652522;;;;;;;;Бренды
