Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,code (product.metafields.custom.code),discount_value (product.metafields.custom.discount_value),gender (product.metafields.custom.gender),gender_list (product.metafields.custom.gender_list),type1 (product.metafields.custom.type1),type2 (product.metafields.custom.type2),type3 (product.metafields.custom.type3),with_images (product.metafields.custom.with_images),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
tshirt-wardrums-tshirt-wardrums-white-ss-25,Tshirt WARDRUMS,,DEVA STATES,,"",with_images,false,size,L,,color,WHITE,,,,,TSHIRT-WARDRUMS-WHITE-SS-25-L-WHITE-2700009550619,0.0,shopify,deny,manual,229.90,229.90,true,true,,,,,'2700009550619,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/SS-25_DEVA-STATES_TSHIRT_WARDRUMS_WHITE_0-01KFV0QGZ8TK1ZF0JR3E038A34.jpg?v=1769417056,1,Product image by Kixbox,false,,,TSHIRT_WARDRUMS-WHITE-SS-25,,,Mens,T-shirt Short Sleeve,T-shirt,Light Knitwear,TRUE,,,,,,kg,,,draft
tshirt-wardrums-tshirt-wardrums-white-ss-25,,,,,,,,,M,,,WHITE,,,,,TSHIRT-WARDRUMS-WHITE-SS-25-M-WHITE-2700009550602,0.0,shopify,deny,manual,229.90,229.90,true,true,,,,,'2700009550602,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/SS-25_DEVA-STATES_TSHIRT_WARDRUMS_WHITE_1-01KFV0QGRNH2KMTPA2BX52B0K5.jpg?v=1769417056,2,Product image by Kixbox,,,,,,,,,,,,,,,,,kg,,,
tshirt-wardrums-tshirt-wardrums-white-ss-25,,,,,,,,,XL,,,WHITE,,,,,TSHIRT-WARDRUMS-WHITE-SS-25-XL-WHITE-2700009550626,0.0,shopify,deny,manual,229.90,229.90,true,true,,,,,'2700009550626,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/SS-25_DEVA-STATES_TSHIRT_WARDRUMS_WHITE_2-01KFV0QJEYQB76EJXZ09RFVF3S.jpg?v=1769417056,3,Product image by Kixbox,,,,,,,,,,,,,,,,,kg,,,
tshirt-wardrums-tshirt-wardrums-white-ss-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/SS-25_DEVA-STATES_TSHIRT_WARDRUMS_WHITE_3-01KFV0QJNTQJJ1PJENFV35W4JE.jpg?v=1769417056,4,Product image by Kixbox,,,,,,,,,,,,,,,,,,,,
tshirt-wardrums-tshirt-wardrums-white-ss-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/SS-25_DEVA-STATES_TSHIRT_WARDRUMS_WHITE_4-01KFV0QP3ZXH09PVCJGA51GW9E.jpg?v=1769417056,5,Product image by Kixbox,,,,,,,,,,,,,,,,,,,,
tshirt-wardrums-tshirt-wardrums-white-ss-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/SS-25_DEVA-STATES_TSHIRT_WARDRUMS_WHITE_5-01KFV0QP0G71RP7W0E3BQY1Z7Y.jpg?v=1769417056,6,Product image by Kixbox,,,,,,,,,,,,,,,,,,,,
zipper-wallet-zipwallet01-natural-leather-aw-25,ZIPPER WALLET,,MISTER GREEN,,"",with_images,false,color,NATURAL LEATHER,,size,ONE SIZE,,,,,ZIPWALLET01-NATURAL-LEATHER-AW-25-ONE-SIZE-NATURAL-LEATHER-2700010517267,0.0,shopify,deny,manual,739.90,739.90,true,true,,,,,'2700010517267,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/AW-25_MISTER-GREEN_ZIPWALLET01_NATURAL-LEATHER_0-01KFV0QCEGWQPH17CJK38DDNH6.jpg?v=1769417056,1,Product image by Kixbox,false,,,ZIPWALLET01-NATURAL LEATHER-AW-25,,,"Mens
Womens",Zippered Leather Wallet,Wallets,Accessories,TRUE,,,,,,kg,,,draft
zipper-wallet-zipwallet01-natural-leather-aw-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/AW-25_MISTER-GREEN_ZIPWALLET01_NATURAL-LEATHER_1-01KFV0QB6ZMNB9FNJJJRR280MR.jpg?v=1769417056,2,Product image by Kixbox,,,,,,,,,,,,,,,,,,,,
zipper-wallet-zipwallet01-natural-leather-aw-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/AW-25_MISTER-GREEN_ZIPWALLET01_NATURAL-LEATHER_2-01KFV0QE1YSHF7GKH08EFD2TY1.jpg?v=1769417056,3,Product image by Kixbox,,,,,,,,,,,,,,,,,,,,
zipper-wallet-zipwallet01-green-leather-aw-25,ZIPPER WALLET,,MISTER GREEN,,"",with_images,false,color,GREEN LEATHER,,size,ONE SIZE,,,,,ZIPWALLET01-GREEN-LEATHER-AW-25-ONE-SIZE-GREEN-LEATHER-2700010517250,0.0,shopify,deny,manual,739.90,739.90,true,true,,,,,'2700010517250,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/AW-25_MISTER-GREEN_ZIPWALLET01_GREEN-LEATHER_0-01KFV0QCB7HPCFMAGFNA1JPSB3.jpg?v=1769417055,1,Product image by Kixbox,false,,,ZIPWALLET01-GREEN LEATHER-AW-25,,,"Mens
Womens",Zippered Leather Wallet,Wallets,Accessories,TRUE,,,,,,kg,,,draft
